단어명	영문약어명
공개	RLS
공고	PBANC
공공	PUB
공구	TOOL
공급	SPLY
공기	AIR
공단	IDTCMP
공동	JNT
공란	BLNK
공람	PDSP
공매	PBAC
공모	PBCNTS
공문	OFDOC
공백	
공법	MTCNS
공부	OFBK
공사	CSTRN
공시	PBLNT
공식	OFCL
공실	EPRM
공업	MDSR
공연	PBPF
공용	CMNUS
공원	PARK
공유	SHRN
공인	PBFG
공장	FCTRY
공적	CNTRB
공정	PROCS
공제	DDC
공중	PUB
공지	NTC
공채	ONTPM
공탁	DPOST
공통	COM
공포	PRMG
공표	OFANC
공항	AIRPT
공헌	CNTRB
과거	PAST
과락	FLSBJ
과목	SBJCT
과세	TXTN
과장	STCHF
과정	CRS
과제	ASMT
과학	SCNC
관거	SWR
관경	PDMT
관계	REL
관광	TOURSM
관급	GVSL
관급	GVSP
관내	WTJR
관람	VWNG
관련	
관로	PPL
관리	MNG
관목	SHRUB
관서	GVMNFC
관심	ITRST
관장	DRCTR
관정	GWEL
관찰	OBSR
관청	GVMNFC
관측	OBSRVN
관할	CMPTNC
광물	MNRL
광역	WAREA
교과	
교란	DSTRB
교량	BRG
교목	CHPLAN
교부	DTBN
교사	TCH
교수	PRFSR
교육	EDU
교재	TCMTR
교점	NODE
교정	CRCT
교체	RPLC
교통	TRFC
교환	EXCH
교훈	LSSN
구간	ISEG
구거	DTCH
구경	CALBR
구내	PRMS
구동	DVS
구름	CLOUD
구리	CPPR
구매	PRCHS
구멍	HOLE
구문	STAX
구배	GRDN
구분	SE
구비	PRPR
구성	CPST
구역	ZONE
구입	
구제	RLF
구조	STRC
구축	ETBL
국가	NTN
국고	NTTR
국내	DMST
국도	NARO
국명	KRNM
국문	KRN
국비	NLEP
국산	DMPRD
국외	OVSEA
국장	DRTR
국적	NTNLTY
국정	NTAD
국제	INTNT
국회	NLASM
군락	CLN
군종	ARMKD
군집	BCMNT
군필	MSVCF
굴뚝	CHMN
굴착	DGG
권고	RCMND
권리	RGHT
권역	SAREA
권유	RCMDTN
권한	AUTHRT
권호	EDTN
귀속	BLN
규격	SPCFCT
규모	SCL
규범	NRM
규정	RULE
규제	RGL
규칙	RUL
균등	EQUL
균주	STN
그늘	SHAD
그룹	GROUP
근거	BSS
근로	LBR
근무	WORK
근속	CNSVC
근태	ATAB
글꼴	FONT
금강	GMRVR
금리	IRT
금속	MTAL
금액	AMT
금연	NSMK
금융	FNNC
금일	TDD
금지	PRHB
금회	TSTM
급속	RAP
급수	SPLTWTR
급여	SLRY
기각	RJC
기간	PRD
기계	MCHN
기고	CTB
기관	INST
기구	OGNZ
기금	AOD
기기	ISTR
기념	CMMRT
기능	FWK
기대	EXPT
기록	RCD
기밀	SCRET
기반	BSCS
기법	TECQU
기별	PRD
기복	RLIF
기본	BSC
기부	DNTN
기사	ARTC
기산	RCK
기상	WTHR
기술	TECH
기안	DRFT
기압	ATMPR
기업	ENT
기여	CNTRB
기온	ARTMP
기와	RTILE
기왕	ALRD
기원	ORGN
기자	JRNLST
기재	FLLN
기저	BSCS
기점	STPT
기존	EXS
기종	MKND
기준	CRTR
기채	FLTAT
기초	BSCS
기출	PVEX
기타	ETC
기통	CYLN
기표	BLTG
기한	TERM
기호	SMBL
기획	PLN
기후	CLIMT
긴급	EMRG
길이	LEN
깊이	DPTH
까치	MGP
나노	NANO
나눔	SHRN
나라	
나무	TREE
나쁨	BD
나열	ENMR
나이	
나지	BLD
낙엽	FLNLEAVE
낙차	FLHD
낙찰	SCSBD
난간	HDRL
난괴	EGGMASS
난방	HTNG
날씨	WTHR
날짜	DATE
남성	ML
남쪽	STHRN
납기	DUDT
납부	PAY
납입	PAY
납품	DLVGDS
내경	GAUGE
내륙	INLND
내부	INSD
내선	EXT
내성	TLRNC
내역	DSCTN
내외	INOUT
내용	CN
내원	VSHSP
내일	TMRW
내진	ETRS
냄새	SMLL
냉각	COOL
냉동	REFRIG
냉매	RERGRT
냉방	COOL
넓이	SQR
년간	FAYR
년도	
년월	
년차	YR
노드	
노선	RTE
노인	SNCTZ
노임	WGS
노장	OBSVF
노점	
노조	
노출	EXPSR
노트	
노후	OBSLT
녹지	GRNZN
녹취	TRSC
녹피	GRNCV
논리	LGC
논문	THSS
논의	DSCS
농가	FRMHS
농도	DNST
농림	AGRFRT
농민	FARMER
농사	FARM
농약	AGRPST
농업	FARM
농지	FMLND
농축	ERCT
높이	HGT
누가	CMTAD
누계	ACTOT
누락	OMIT
누수	WTLKG
누적	ACML
누출	LKG
뉴스	NEWS
능력	ABLT
니켈	NCKL
다량	BULK
다변	VRBLT
다소	SMWHT
다수	MNY
다음	NEXT
다중	MLT
단가	UNTPRC
단계	STP
단기	SRTPD
단독	SNGL
단면	CRSCN
단속	CRDN
단수	SPWTSP
단순	SIMPL
단어	WORD
단위	UNIT
단일	SINGL
단지	CMPX
단체	GRP
단축	SHRTN
닫기	CLSE
달력	CLDR
달성	ACHV
담당	TKCG
담배	CIGAR
담보	CLTR
담수	PLWT
답글	RPLY
답변	ANS
답안	ANSW
답장	RPL
당기	THTM
당년	TYY
당시	TTM
당월	TSMM
당일	THDY
당직	ONDT
당첨	PRWN
당초	ORGN
당해	TYY
대가	PYMT
대금	PYMT
대기	WTNG
대량	LQTY
대륙	CNTNT
대리	SBT
대면	FTF
대변	CRSD
대비	CTRS
대사	GRTTNG
대상	TRGT
대수	CNTOM
대여	RNTL
대역	BAND
대원	CREW
대응	CRSP
대장	LDGR
대지	ERTH
대책	CTPN
대체	SBST
대출	LOAN
대치	RPLC
대표	RPRS
대행	PRXY
대형	LGSZ
대화	CVST
대회	CNFRN
댓글	CMNT
덮개	CVR
도구	TOOL
도금	PLTG
도급	CTRC
도달	RCHNG
도래	MGRTR
도로	ROAD
도립	PRVN
도면	FLRPLN
도서	BOOK
도시	CTY
도어	DOOR
도엽	MAPSHT
도입	INTR
도착	ARVL
도표	CHRT
독감	INFLU
독려	ENCR
독립	INDP
독성	TOXC
독촉	URG
돌풍	GUST
동거	CHBTN
동결	FRZG
동계	WNTR
동기	MTV
동력	POWER
동물	ANML
동반	ACMP
동시	SMLTN
동의	AGRE
동일	SAME
동작	MOTN
동쪽	ESTRN
동파	FRZBUR
동향	TNDNC
돼지	PIG
두발	HAIR
두수	NOHD
둔치	ESPD
둘레	CRCF
뒷면	BKSD
드론	DRN
등급	GRD
등기	RG
등록	REG
등유	KRSN
등재	REG
라벨	LBL
라틴	LTN
레벨	LVL
로거	LGER
로고	LOGO
로그	LOG
로컬	SLC
루트	ROOT
리더	LDR
리셋	RSET
링크	
마감	DDLN
마을	VLG
마크	MARK
막이	PRTC
만기	MTRY
만료	EXPRY
만수	FWWT
만족	STFC
말소	ERSR
맑음	CLAR
망간	MNGN
매각	DSPSL
매도	SLL
매립	RCLM
매매	TRD
매설	LAYING
매수	BYNG
매입	
매장	SHOP
매체	MDIA
매출	SLS
매칭	MTCHN
매핑	MPNG
먼지	DST
메뉴	MENU
메모	MEMO
메인	MAIN
메일	
메타	META
메탄	METHN
면담	ITVW
면세	TXEX
면적	AREA
면접	INTV
면제	EXMPTN
면책	EXRS
면허	LCNS
멸균	STZ
멸종	EXTRMN
명령	CMD
명명	NMNG
명부	ARON
명세	PRTCLR
명수	
명언	FMSG
명예	HNR
명의	NMNL
명칭	
모델	MDL
모뎀	MODEM
모듈	MODL
모드	MOD
모래	SAND
모레	DATMRW
모암	PRRCK
모양	SHAPE
모집	RCRT
모형	
목격	WITNES
목록	LIST
목재	TIMBER
목적	PRPS
목차	TCONT
목초	PSTRG
목표	GOAL
묘지	GRVYD
무게	WGHT
무료	FREE
무상	FREE
무선	WRLS
무형	ITN
무효	INVLD
묶음	BNDL
문구	PHRS
문서	DOC
문의	ENQY
문자	LTR
문장	SNTC
문제	PRBLM
문항	QITEM
문헌	LTRT
문화	CTR
물건	THING
물량	QTY
물리	PHYS
물빛	DYCLR
물적	SBSTN
물질	SBSTN
물체	TOBJ
물품	CMDTY
미결	PND
미납	UNPAID
미달	SHRTS
미만	UDR
미수	UCLT
미터	METER
미투	METOO
미필	INCMP
미흡	INSF
민간	PRVTO
민감	SST
민원	CVLCPT
밀도	SMPVM
바다	SEA
바닥	BTM
바람	WIND
바위	ROCK
반경	RDIS
반기	HT
반납	RTN
반대	OPST
반려	RJCT
반복	REPT
반송	SNDBK
반영	RFLT
반응	RACT
반입	CRYN
반출	SHPGOT
반토	ALUM
반품	RTGD
반환	GVBK
받는	
발간	PBLS
발견	DSCV
발광	LMNS
발급	ISSU
발령	APNT
발병	ONST
발생	OCRN
발송	SNDNG
발신	DSPTCH
발암	CCGS
발열	FVR
발의	PRPSL
발전	ETGT
발주	ORDR
발표	PRSNTN
발행	PBLCN
발효	EFCTN
방류	DSCHG
방문	VST
방법	MTHD
방사	ARLS
방송	BRDC
방수	WPROF
방식	MTH
방안	MSRS
방어	DFS
방위	DRTN
방재	PVOD
방제	INPS
방지	PRV
방침	PRCPL
방향	DRCTN
방호	PRTC
배경	BKGR
배관	PIPE
배기	VNTL
배너	BNR
배달	TMTL
배당	ALCTN
배부	HNDT
배분	APRT
배상	RPN
배송	DLVR
배수	MLTV
배양	CLTVT
배점	SCOR
배정	ALTMNT
배제	EXCLU
배지	CTRMD
배차	CRAL
배출	EMSN
배치	BTCH
배포	CRLTN
백신	VACN
백업	BKUP
버전	VER
버튼	BTN
번식	PRPGT
번역	TRSL
번지	BNJ
번호	NO
범례	LGND
범위	SCP
범주	CTGRY
법규	LWRG
법령	STT
법률	ACT
법무	JDAF
법안	BIL
법원	CT
법인	CORP
법적	LGL
법정	STTY
벤젠	BNZN
벽돌	BRICK
벽지	RMTPLC
변경	CHG
변동	FLCTN
변수	VRBL
변이	MTTN
변종	VRTY
변형	DFRMT
변화	VARTN
변환	TRSF
별도	APART
별명	NICK
별칭	NCNM
별표	ASTK
병가	SKLV
병과	BRSE
병상	SCKBD
병설	ESANX
병원	HSPTL
병합	MERG
보강	REINFC
보건	HLTHCR
보고	RPT
보관	KPNG
보급	SPLY
보기	CASE
보도	NSCVRG
보류	HLDOF
보상	CMPN
보세	NBRND
보수	SLRY
보안	SCRTY
보완	SPLMNT
보유	HLD
보전	PRSRV
보정	CRCT
보조	ASST
보존	PRSV
보증	GRNTE
보충	SPMNT
보통	USL
보험	INSRNC
보호	PRTC
보훈	PV
복개	CVR
복구	RSTR
복리	WLBNG
복무	SERVC
복본	DPLC
복사	COPY
복원	RSTRT
복지	WLFR
복직	RINST
복토	CWTH
본류	MNSTM
본문	MTXT
본번	MNO
본부	HQ
본사	HDOFC
본세	MNTX
본인	ONSLF
본점	MNBR
봉사	SVC
봉투	ENVP
부가	ADD
부검	ATPSY
부과	LEVY
부기	BUKIP
부담	BRDN
부대	SBSD
부도	ISVC
부모	PRNT
부문	SECT
부번	SNO
부분	PART
부상	INJR
부서	DEPT
부설	LAY
부속	ANX
부수	NOCP
부양	SPT
부여	GRNT
부유	FLOT
부임	ACSN
부재	ABSN
부정	INSTC
부제	
부족	SHRTS
부존	RSRVS
부지	LAND
부착	STIK
부채	LBLT
부처	MAO
부탄	BHUTN
부품	PRTS
부하	LOD
부호	SMBL
북미	NAMRC
북쪽	NRTRN
분개	JRNL
분과	SCMT
분기	QTR
분납	ISPY
분뇨	HMN
분담	SHARE
분당	MI
분량	QTY
분류	CLSF
분리	SPR
분모	DNMTR
분배	APRT
분산	DPRSN
분석	ANLS
분쇄	CRSH
분수	FUTN
분실	LOST
분야	FLD
분양	LTOT
분자	MOCL
분쟁	DISPT
분진	MOTE
분포	DSTB
분할	PRTTN
불가	IMPS
불감	INSBLT
불능	INBL
불량	BAD
불복	DSBDNC
불소	FLRN
불용	DUSE
불참	NATT
불출	RELS
블록	BLCK
비고	RMRK
비교	CMPR
비닐	VINYL
비목	ITMEXP
비밀	SCRET
비산	ARNC
비상	EMRG
비소	ASNC
비용	CST
비위	VIOL
비율	RT
비중	SPGR
비치	FRNSH
비품	FXTRS
비행	FLYNG
빈도	FREQ
사건	INCDNT
사고	ACDNT
사과	AP
사령	DTOF
사례	CASE
사료	FEED
사망	DTH
사면	PRDN
사무	OFCW
사본	COPY
사수	DWTR
사실	FACT
사업	BIZ
사용	USE
사원	
사위	FDG
사유	RSN
사육	BRED
사인	SIGN
사전	BFHD
사주	SNDBR
사진	PHOTO
사찰	INVSTG
사체	CORPSE
사항	MTTR
사회	SOCTY
사후	EPFC
삭감	CTBK
삭제	DEL
산간	MNTNS
산림	FORST
산소	OXYG
산식	FMLA
산업	INDST
산재	IA
산정	CMPTTN
산지	MTLND
산출	CALC
산하	AFLTD
살수	SPRKL
살포	SPRAY
상가	STORE
상각	AMTZ
상계	STFF
상과	SPFL
상관	CRLT
상단	UPEND
상담	DSCSN
상대	RLT
상류	UPSTM
상목	SPORDR
상벌	RWPN
상부	UPPRT
상세	DTL
상소	APLH
상속	IHRT
상쇄	OFSTG
상수	CNS
상승	ASND
상시	ODTM
상신	RTSO
상실	LOSE
상압	NMPS
상업	CMC
상영	SCRG
상온	RMTMP
상용	CMCUS
상위	UP
상장	LSTG
상주	RESD
상층	UPCL
상태	STTS
상표	TDMK
상품	GDS
상한	UPLMT
상해	BHRM
상향	UPWRD
상호	CONM
상환	RPMT
상황	STTN
상훈	PZDC
새창	NPAG
색도	CRMTY
색맹	ACHRM
색상	COLR
색인	INDX
샘플	SAMPLE
생략	OMS
생명	LIFE
생물	CRTURE
생산	PRDCTN
생성	CRT
생수	BTLWTR
생식	PRTN
생약	HBMED
생존	SRVL
생태	ECLG
생활	LVNG
서가	BKSH
서류	DCMNT
서면	DOC
서명	SIGN
서무	GNAFR
서버	SRVR
서브	SUB
서식	TMPLT
서약	OATH
서열	RNKO
서쪽	WSTRN
서체	FONT
석고	STNLM
석면	ABSTS
석식	DNNR
석유	PETRLU
석축	STNWRK
선고	ADJ
선납	PRPY
선로	RLWY
선박	VSL
선발	PICK
선별	SLCF
선원	CREW
선임	
선적	SHPG
선정	SLCTN
선택	CHC
선행	PRCD
선호	PRFR
설계	DESIGN
설립	FNDN
설명	EXPLN
설문	SRVY
설비	FCL
설정	STNG
설치	INSTL
섬세	FINS
섬유	FBER
섭식	FED
성격	PRSNL
성공	SCS
성과	OTCM
성능	PRFRNC
성립	FNDG
성명	FLNM
성별	GNDR
성분	IGRD
성씨	SRNM
성인	ADLT
성장	GROW
성적	PGRD
성질	PRPTS
성충	IMAGO
성향	TNDNC
세공	CRFTS
세관	CSTMHS
세균	GERM
세금	TX
세대	HH
세로	VRTC
세목	TXITM
세무	TXBIZ
세부	
세션	SYSSN
세액	TXAMT
세입	ANRVN
세장	ELNG
세척	CLNSG
세출	ANEXPTR
세트	SET
세포	BCLL
섹션	SCTN
센서	SNSR
센터	CNTR
소각	INCNR
소개	INTDC
소계	STOT
소관	JRSD
소급	RTRCT
소독	STLZ
소득	EARN
소량	SMLQ
소리	SOUND
소멸	EXTSH
소명	VNDC
소모	CSMT
소방	FRFG
소비	CNSM
소생	RVVL
소속	OGDP
소송	LWS
소요	REQ
소유	PSN
소음	NOIS
소재	
소집	CNVC
소형	STYP
속도	SPD
속성	ATRB
손실	LOSS
손익	PFLS
손해	HRM
송금	RMT
송달	TMTL
송부	DSPTCH
송수	WTSUPL
송신	
송장	INVC
송치	TRNSR
수강	ATNLC
수거	CLT
수계	WTST
수관	ASCTL
수기	HWRT
수납	RCVMT
수단	MNS
수당	ALW
수도	WTSPL
수동	MANL
수락	ACPT
수량	QTY
수렵	HNTG
수령	RCV
수로	WTRWY
수료	FNSH
수리	RPR
수립	FNDG
수면	WTSF
수몰	SBMRG
수문	WTGT
수변	WTRSD
수분	MSTR
수산	MRP
수상	WNAWD
수선	MNDG
수소	HYDR
수술	SRGR
수습	RTRV
수식	EQTN
수신	RCPTN
수심	WTDTH
수압	WTRPRS
수여	CNFR
수역	WTRS
수온	WTTM
수요	DMD
수용	ACTC
수원	WTRSRC
수위	WTLV
수은	MRCR
수임	ACAP
수입	INCM
수정	MDFCN
수제	SPRDIKE
수조	WATNK
수종	TRSPC
수준	LVL
수직	VTCL
수질	WQ
수집	CLCT
수차	WTRBN
수출	EXP
수치	NVL
수탁	TRST
수폭	WTRBDH
수표	CHECK
수풀	WDLND
수행	FLFMT
수험	TKEXM
수혜	BNF
숙박	LDG
숙소	ACMD
순간	MMNT
순도	PURDG
순번	
순서	SEQ
순수	PURE
순시	PTL
순위	RNK
순찰	PTL
숨김	HIDE
숫자	NUM
쉼터	SHLTR
스왑	SWAP
스팸	SPAM
습기	HUM
습도	HUM
습성	HUMD
습지	WTLND
승계	SCSN
승급	ADVN
승선	EMKT
승용	PSNGR
승인	APRV
승진	PRMT
승차	RIDE
시가	MPRC
시각	TM
시간	HR
시건	LCK
시공	CNST
시군	SIGUN
시기	TMNG
시도	CTPV
시료	SPCM
시분	HM
시상	WNAWD
시설	FCLT
시솝	SSP
시안	CYN
시작	BGNG
시장	MRKT
시점	TMPT
시정	CRC
시중	NTWD
시추	DRLL
시트	SHEET
시행	ENFC
시험	TEST
식단	DIET
식당	RSTNT
식물	PLNT
식별	IDNTF
식비	FDEXP
식사	MEAL
식생	VGTTN
식성	TASTE
식수	DRWT
식재	PLTNG
식품	FOOD
식피	VGTTN
식흔	ANKTRAS
신고	DCLR
신규	NEW
신뢰	CNFDNC
신설	NBLDP
신속	RPD
신용	CRDT
신원	IDTY
신차	NCAR
신청	APLY
신체	BDY
신탁	TRUST
신호	SGNL
실국	OFBR
실내	INDR
실명	RLNM
실사	ACINSP
실습	PRCTC
실시	ENFRC
실외	TOSD
실장	TMLDR
실적	PRFMNC
실제	ACTL
실증	PROV
실체	TRTH
실측	RLMSR
실태	ACCND
실패	FAIL
실행	EXCN
실효	ACEF
심각	SRUS
심사	SRNG
심의	DLBR
심층	DEPTHS
싸움	FIGHT
쓰기	WRT
아강	SBCLS
아과	SBFL
아목	SBORDR
아문	SBPL
아속	SBGU
아연	ZN
아종	SSPECS
악성	MLGN
안개	FOG
안건	AGND
안내	GD
안분	PRDV
안전	SFTY
알람	ALRM
알림	NTI
암거	UNDDRN
암반	BLOCK
암석	ROK
암자	STEMPL
암컷	AFML
압력	PRSUR
압류	SZR
압송	PUMPNG
압축	CMPRS
앞면	FRSD
애로	DFCL
액비	LIQFER
액상	LQD
액체	LQD
야간	NGHT
야생	WLDNS
약관	TRMS
약국	PMCY
약도	RGHMP
약식	INFML
약어	ABBR
약정	STPL
약제	MEDC
약칭	DMNTV
약품	MDCN
양도	CNVYN
양력	SLCL
양서	AMPHBN
양성	NRTR
양수	WPMP
양식	FORM
양육	BRUP
어도	FSHWY
어류	FSH
어선	FSBT
어업	FSHRY
어음	PRMNT
어종	KDFSH
어학	LANG
언어	LANG
업무	TASK
업소	BIZEST
업종	TPBIZ
업체	BZENTY
업태	BZSTAT
없음	NOT
엑셀	EXCEL
엔진	ENGN
여과	FILTR
여름	SMR
여백	MARGN
여부	YN
여분	SPRE
여비	TRVEXP
여성	FMALE
여울	RPDS
여유	RLXD
여행	TRVL
역량	CPBL
역학	MECHNCS
역할	ROLE
연간	ANL
연결	LNKG
연계	LINK
연관	
연구	RSCH
연금	PN
연대	SLDT
연도	YR
연동	ITRCK
연락	CNTC
연령	AGE
연료	FUEL
연말	YEND
연못	POND
연번	
연보	ANNLS
연봉	ANLSL
연산	ARTOPN
연소	BURN
연속	CNTIN
연수	STDTRN
연식	MDLYY
연안	COAST
연월	YM
연임	RPNTM
연장	PRLG
연체	ARG
연혁	CRNCL
열람	PRSL
열매	FRUIT
열차	TRAIN
열화	DGRN
염도	SLDNS
염분	SALT
염소	CHLOR
염전	SLTPND
영급	AGCLS
영문	ENG
영업	SALS
영역	RLM
영치	CSDY
영향	IMPCT
영화	MOVIE
예규	ESTRL
예금	SVG
예년	AVRYR
예문	EXSNT
예방	PRV
예보	FRCST
예비	RSRV
예산	BGT
예상	EXPC
예시	EXM
예약	RSVT
예외	EXCP
예정	PRNMNT
예제	EXRC
예찰	PRDICT
예측	PREDC
예치	DEPST
예탁	DPSTG
오너	
오늘	TD
오니	SLUDGE
오류	ERR
오리	DCK
오수	DRTW
오염	PLLTN
오일	OIL
오전	AM
오존	OZON
오차	EGAP
오픈	OPN
오후	AFN
옥내	INDR
옥외	OTDR
온도	TP
옵션	OPT
와류	VORTEX
완결	CMPTN
완납	FLPY
완료	CMPTN
완성	FNL
완전	PRFECT
완제	FLRPY
완충	BUFER
외국	FRGN
외기	OTAIR
외래	FREGN
외부	OTSD
외상	ONCR
외식	EATOUT
외자	FRCPTL
외출	GNOT
외화	FRCNCY
왼쪽	LSD
요건	RQMT
요구	RQT
요금	CRG
요령	TCK
요소	ELM
요약	SMRY
요양	RCPR
요율	TRF
요인	FCT
요일	DOW
요청	DMND
욕실	BTHRM
용기	BOWL
용도	USG
용량	CPCT
용수	USWTR
용어	TRM
용역	LBSVC
용적	VLM
용지	PPR
용출	RSRGN
우량	EXLN
우려	CNCRN
우선	PRRTY
우수	EXLN
우안	RGTBK
우점	DMNC
우측	RGSD
우편	MAIL
우화	EMRN
운고	HFTC
운동	MVM
운량	CLDQ
운반	CRRG
운수	TRANSP
운영	OPER
운임	FARE
운전	OPR
운항	NVGT
운행	OPR
운형	CLDS
운휴	SRVSPN
울음	CRYING
원가	PRMCO
원격	REMT
원경	DSTNVW
원고	PLNTF
원금	PRN
원료	BMTRL
원리	PRNCP
원문	ORGTXT
원본	ORGNL
원수	ORGWT
원시	PRMTV
원인	CS
원장	GNLGR
원점	TRGNPT
원천	SOU
원형	RNDSHP
원화	KCUR
월간	MTHL
월류	WORFLW
월별	MM
월세	MRNT
월일	MMDD
웹진	WBZN
위도	LAT
위반	VLTN
위배	
위생	HGEN
위성	STLT
위원	MBCMT
위임	DLGT
위촉	ENTRST
위치	PSTN
위탁	CNSGN
위험	DNGR
유관	
유량	VLFL
유럽	EU
유로	FLWCNL
유료	CHRG
유류	OIL
유리	GLASS
유무	EN
유물	RLC
유보	DFR
유사	SMLR
유상	CMPNS
유생	LARVA
유선	WRD
유속	FVLC
유실	LSWTR
유압	OILPRES
유역	BSN
유예	PSTP
유의	CTN
유입	INFLW
유저	
유주	SWARMG
유지	KEEP
유찰	FLBD
유체	FLUID
유출	OTFLW
유충	LAVL
유치	ATCT
유통	RTL
유해	HRMFL
유형	TYPE
유황	SULFUR
유효	VLD
육상	OLAND
윤달	LPMM
융자	FINANC
은행	BANK
음력	LNCL
음식	
음용	DKPP
음원	SDSRC
음주	DRNK
응답	RSPNS
응모	ENTRY
응시	TKEX
의견	OPNN
의결	DCS
의뢰	RQST
의료	MDLCR
의류	CLTHS
의무	OBLG
의미	MNNG
의복	CLTH
의사	DR
의안	BIL
의원	ASMB
의제	AGND
이격	SEPR
이관	TRNSF
이내	WTHN
이동	MVMN
이력	HSTRY
이름	
이사	MVHS
이상	MT
이송	TRNFR
이수	CMCRS
이슈	ISSUE
이연	DFRD
이온	ION
이용	UTZTN
이월	CRFW
이유	RSN
이율	INRT
이의	OBJC
이익	PRF
이자	INT
이전	BFR
이주	MV
이첩	FRWD
이하	LT
이행	IMPLT
이혼	DVRC
이후	AFTR
익명	ANMT
익일	NXDD
인가	SNCN
인계	HNOV
인공	ARTFC
인구	PPLTN
인근	NRBY
인당	PS
인도	CNVYN
인력	MNPW
인명	HNL
인물	PRSN
인산	PHACID
인성	PRSNL
인쇄	PRINT
인수	ACPTN
인원	PEPL
인자	FCTR
인적	HUMN
인접	ADJC
인정	RCG
인증	CERT
인체	HMBD
인허	
일괄	EBLC
일기	WTHR
